day,local_time,assessment_number,mean_daily_temp, dew_ points, wind_km_h),ws,ws_sd,wd,wd_sd, cummulative_rain_since_9am,rain_mm,wet_hours,rh,location
1,27/06/2020 8:15,NA,8.5,6.4,10.9,3.03,NA,100,NA,0,0,NA,86,Tosari
1,27/06/2020 8:30,NA,9.2,6.6,15,4.17,NA,98,NA,0,0,NA,84,Tosari
1,27/06/2020 8:45,NA,9.7,6.6,14.5,4.03,NA,98,NA,0,0,NA,81,Tosari
1,27/06/2020 9:00,NA,10.5,6.8,12.4,3.44,NA,102,NA,0,0,NA,77,Tosari
1,27/06/2020 9:15,NA,11.3,6.9,14.6,4.06,NA,109,NA,0,0,NA,74,Tosari
1,27/06/2020 9:30,NA,12.3,6.7,13.6,3.78,NA,102,NA,0,0,NA,68,Tosari
1,27/06/2020 9:45,NA,13.4,6.8,13.3,3.69,NA,104,NA,0,0,NA,64,Tosari
1,27/06/2020 10:00,NA,14.3,7.3,11.4,3.17,NA,94,NA,0,0,NA,62,Tosari
1,27/06/2020 10:15,NA,15.2,7.2,10.6,2.94,NA,96,NA,0,0,NA,58,Tosari
1,27/06/2020 10:30,NA,15.9,7.3,10.3,2.86,NA,98,NA,0,0,NA,56,Tosari
1,27/06/2020 10:45,NA,16.4,6.9,11.4,3.17,NA,83,NA,0,0,NA,53,Tosari
1,27/06/2020 11:00,NA,17.1,7.1,10.5,2.92,NA,70,NA,0,0,NA,51,Tosari
1,27/06/2020 11:15,NA,17.6,6.4,11.6,3.22,NA,57,NA,0,0,NA,47,Tosari
1,27/06/2020 11:30,NA,17.9,6.2,10.5,2.92,NA,65,NA,0,0,NA,46,Tosari
1,27/06/2020 11:45,NA,18.2,5.1,11.9,3.31,NA,50,NA,0,0,NA,41,Tosari
1,27/06/2020 12:00,NA,18.4,5.2,7.2,2,NA,64,NA,0,0,NA,41,Tosari
1,27/06/2020 12:15,NA,19,5.6,5.9,1.64,NA,8,NA,0,0,NA,41,Tosari
1,27/06/2020 12:30,NA,19.1,4.9,6.3,1.75,NA,56,NA,0,0,NA,39,Tosari
1,27/06/2020 12:45,NA,19.6,4.5,3.9,1.08,NA,22,NA,0,0,NA,37,Tosari
1,27/06/2020 13:00,NA,20.2,5.5,5.5,1.53,NA,298,NA,0,0,NA,38,Tosari
1,27/06/2020 13:15,NA,20.2,5.1,6.8,1.89,NA,8,NA,0,0,NA,37,Tosari
1,27/06/2020 13:30,NA,20,4.3,8,2.22,NA,32,NA,0,0,NA,35,Tosari
1,27/06/2020 13:45,NA,20.1,4.8,6.9,1.92,NA,39,NA,0,0,NA,36,Tosari
1,27/06/2020 14:00,NA,20.3,3.9,8.3,2.31,NA,358,NA,0,0,NA,34,Tosari
1,27/06/2020 14:15,NA,20.1,4.3,7.4,2.06,NA,329,NA,0,0,NA,35,Tosari
1,27/06/2020 14:30,NA,20,3.6,5.7,1.58,NA,329,NA,0,0,NA,33,Tosari
1,27/06/2020 14:45,NA,20.6,3.3,6.1,1.69,NA,319,NA,0,0,NA,31,Tosari
1,27/06/2020 15:00,NA,21.3,4,3.5,0.97,NA,66,NA,0,0,NA,32,Tosari
1,27/06/2020 15:15,NA,20.7,3,5.4,1.5,NA,97,NA,0,0,NA,31,Tosari
1,27/06/2020 15:30,NA,20.4,3.6,7.9,2.19,NA,148,NA,0,0,NA,33,Tosari
1,27/06/2020 15:45,NA,20.3,3.2,9.8,2.72,NA,159,NA,0,0,NA,32,Tosari
1,27/06/2020 16:00,NA,20,2.9,9.1,2.53,NA,151,NA,0,0,NA,32,Tosari
1,27/06/2020 16:15,NA,19.7,2.8,9.7,2.69,NA,150,NA,0,0,NA,32,Tosari
1,27/06/2020 16:30,NA,19,3.1,8.3,2.31,NA,144,NA,0,0,NA,34,Tosari
1,27/06/2020 16:45,NA,18.2,2.7,3.9,1.08,NA,134,NA,0,0,NA,35,Tosari
1,27/06/2020 17:00,NA,18.3,3.3,3.1,0.86,NA,156,NA,0,0,NA,36,Tosari
1,27/06/2020 17:15,NA,17.5,2.6,4,1.11,NA,153,NA,0,0,NA,36,Tosari
1,27/06/2020 17:30,NA,16.1,2.8,4.6,1.28,NA,179,NA,0,0,NA,40,Tosari
1,27/06/2020 17:45,NA,15.1,2.7,4.2,1.17,NA,145,NA,0,0,NA,43,Tosari
1,27/06/2020 18:00,NA,14.7,2.4,5,1.39,NA,114,NA,0,0,NA,43,Tosari
1,27/06/2020 18:15,NA,14.2,2.9,6.2,1.72,NA,115,NA,0,0,NA,46,Tosari
1,27/06/2020 18:30,NA,13.7,1.3,6.8,1.89,NA,113,NA,0,0,NA,43,Tosari
1,27/06/2020 18:45,NA,14.4,1.7,7.9,2.19,NA,108,NA,0,0,NA,42,Tosari
1,27/06/2020 19:00,NA,14.1,2.4,10.7,2.97,NA,106,NA,0,0,NA,45,Tosari
1,27/06/2020 19:15,NA,13.8,2.7,8,2.22,NA,84,NA,0,0,NA,47,Tosari
1,27/06/2020 19:30,NA,13.5,3.6,6.1,1.69,NA,115,NA,0,0,NA,51,Tosari
1,27/06/2020 19:45,NA,12.5,2.8,5.8,1.61,NA,130,NA,0,0,NA,51,Tosari
1,27/06/2020 20:00,NA,11.7,2.6,4.6,1.28,NA,145,NA,0,0,NA,53,Tosari
1,27/06/2020 20:15,NA,10.8,2.6,1.6,0.44,NA,188,NA,0,0,NA,56,Tosari
1,27/06/2020 20:30,NA,10.3,2.7,3.5,0.97,NA,147,NA,0,0,NA,59,Tosari
1,27/06/2020 20:45,NA,10.4,3.5,4.4,1.22,NA,114,NA,0,0,NA,62,Tosari
1,27/06/2020 21:00,NA,10.6,4.4,6.6,1.83,NA,103,NA,0,0,NA,65,Tosari
1,27/06/2020 21:15,NA,10.8,4.1,6.1,1.69,NA,82,NA,0,0,NA,63,Tosari
1,27/06/2020 21:30,NA,11,4.4,6,1.67,NA,77,NA,0,0,NA,63,Tosari
1,27/06/2020 21:45,NA,10.8,4.8,6.8,1.89,NA,84,NA,0,0,NA,66,Tosari
1,27/06/2020 22:00,NA,10.5,4.4,5.6,1.56,NA,75,NA,0,0,NA,65,Tosari
1,27/06/2020 22:15,NA,10.3,4.9,6.5,1.81,NA,83,NA,0,0,NA,69,Tosari
1,27/06/2020 22:30,NA,9.9,5.2,8.9,2.47,NA,91,NA,0,0,NA,72,Tosari
1,27/06/2020 22:45,NA,9.8,4.7,8.9,2.47,NA,81,NA,0,0,NA,70,Tosari
1,27/06/2020 23:00,NA,9.5,5,8.1,2.25,NA,78,NA,0,0,NA,73,Tosari
1,27/06/2020 23:15,NA,9.4,5.3,8.1,2.25,NA,86,NA,0,0,NA,75,Tosari
1,27/06/2020 23:30,NA,9.4,5.7,7.1,1.97,NA,96,NA,0,0,NA,77,Tosari
1,27/06/2020 23:45,NA,9.1,5.9,8,2.22,NA,107,NA,0,0,NA,80,Tosari
2,28/06/2020 0:00,NA,9.1,6,9.5,2.64,NA,102,NA,0,0,NA,80,Tosari
2,28/06/2020 0:15,NA,9.4,6.1,9.2,2.56,NA,100,NA,0,0,NA,80,Tosari
2,28/06/2020 0:30,NA,9.4,6.3,9.5,2.64,NA,99,NA,0,0,NA,80,Tosari
2,28/06/2020 0:45,NA,9.2,6.2,9.7,2.69,NA,95,NA,0,0,NA,81,Tosari
2,28/06/2020 1:00,NA,9.2,6.3,10.7,2.97,NA,99,NA,0,0,NA,81,Tosari
2,28/06/2020 1:15,NA,9.1,6.1,8.4,2.33,NA,89,NA,0,0,NA,81,Tosari
2,28/06/2020 1:30,NA,9,6.1,9,2.5,NA,83,NA,0,0,NA,82,Tosari
2,28/06/2020 1:45,NA,8.9,6.2,9.1,2.53,NA,87,NA,0,0,NA,83,Tosari
2,28/06/2020 2:00,NA,8.8,6,9.7,2.69,NA,82,NA,0,0,NA,82,Tosari
2,28/06/2020 2:15,NA,8.6,6.1,9.2,2.56,NA,85,NA,0,0,NA,84,Tosari
2,28/06/2020 2:30,NA,8.8,6.4,9.8,2.72,NA,94,NA,0,0,NA,85,Tosari
2,28/06/2020 2:45,NA,9,6.3,9.9,2.75,NA,86,NA,0,0,NA,83,Tosari
2,28/06/2020 3:00,NA,8.7,6.3,7.9,2.19,NA,76,NA,0,0,NA,84,Tosari
2,28/06/2020 3:15,NA,8.3,5.8,6.8,1.89,NA,101,NA,0,0,NA,84,Tosari
2,28/06/2020 3:30,NA,7.4,5.7,8.2,2.28,NA,104,NA,0,0,NA,88,Tosari
2,28/06/2020 3:45,NA,7.6,5.9,10,2.78,NA,91,NA,0,0,NA,89,Tosari
2,28/06/2020 4:00,NA,7.8,6,9.7,2.69,NA,83,NA,0,0,NA,88,Tosari
2,28/06/2020 4:15,NA,7.8,6.1,10,2.78,NA,87,NA,0,0,NA,89,Tosari
2,28/06/2020 4:30,NA,7.7,6.1,10.6,2.94,NA,82,NA,0,0,NA,89,Tosari
2,28/06/2020 4:45,NA,7.6,5.9,10.3,2.86,NA,84,NA,0,0,NA,88,Tosari
2,28/06/2020 5:00,NA,7.3,5.7,9.3,2.58,NA,91,NA,0,0,NA,89,Tosari
2,28/06/2020 5:15,NA,7.2,5.6,9.2,2.56,NA,87,NA,0,0,NA,89,Tosari
2,28/06/2020 5:30,NA,7.1,5.6,9.6,2.67,NA,91,NA,0,0,NA,90,Tosari
2,28/06/2020 5:45,NA,7.2,5.8,9.8,2.72,NA,88,NA,0,0,NA,91,Tosari
2,28/06/2020 6:00,NA,7.4,6,10.6,2.94,NA,89,NA,0,0,NA,90,Tosari
2,28/06/2020 6:15,NA,7.5,6.2,9.5,2.64,NA,88,NA,0,0,NA,91,Tosari
2,28/06/2020 6:30,NA,7.6,6.2,10.4,2.89,NA,89,NA,0,0,NA,91,Tosari
2,28/06/2020 6:45,NA,7.8,6.3,12.8,3.56,NA,87,NA,0,0,NA,90,Tosari
2,28/06/2020 7:00,NA,7.9,6.4,12.8,3.56,NA,87,NA,0,0,NA,90,Tosari
2,28/06/2020 7:15,NA,8,6.6,12.5,3.47,NA,85,NA,0,0,NA,90,Tosari
2,28/06/2020 7:30,NA,8.3,6.7,11.1,3.08,NA,79,NA,0,0,NA,89,Tosari
2,28/06/2020 7:45,NA,8.8,7,8.8,2.44,NA,86,NA,0,0,NA,88,Tosari
2,28/06/2020 8:00,NA,9.6,7.4,9.7,2.69,NA,98,NA,0,0,NA,86,Tosari
2,28/06/2020 8:15,NA,10.2,7.7,8.5,2.36,NA,100,NA,0,0,NA,84,Tosari
2,28/06/2020 8:30,NA,10.7,7.9,11.3,3.14,NA,103,NA,0,0,NA,82,Tosari
2,28/06/2020 8:45,NA,11.2,8.1,11.3,3.14,NA,104,NA,0,0,NA,81,Tosari
2,28/06/2020 9:00,NA,12.2,8.4,11.5,3.19,NA,103,NA,0,0,NA,77,Tosari
2,28/06/2020 9:15,NA,13.3,8.9,12.3,3.42,NA,103,NA,0,0,NA,74,Tosari
2,28/06/2020 9:30,NA,14.2,8.7,13.9,3.86,NA,89,NA,0,0,NA,69,Tosari
2,28/06/2020 9:45,NA,14.8,8.5,15.3,4.25,NA,83,NA,0,0,NA,66,Tosari
2,28/06/2020 10:00,NA,15.3,8.7,16.4,4.56,NA,94,NA,0,0,NA,64,Tosari
2,28/06/2020 10:15,NA,15.6,8.3,16.9,4.69,NA,94,NA,0,0,NA,61,Tosari
2,28/06/2020 10:30,NA,16.4,8.3,15.5,4.31,NA,81,NA,0,0,NA,58,Tosari
2,28/06/2020 10:45,NA,16.9,7.9,14.4,4,NA,81,NA,0,0,NA,55,Tosari
2,28/06/2020 11:00,NA,17.1,8.4,15.5,4.31,NA,91,NA,0,0,NA,56,Tosari
2,28/06/2020 11:15,NA,17.3,8,13.2,3.67,NA,85,NA,0,0,NA,54,Tosari
2,28/06/2020 11:30,NA,18.1,7.7,13.2,3.67,NA,91,NA,0,0,NA,50,Tosari
2,28/06/2020 11:45,NA,18,5.5,12.3,3.42,NA,102,NA,0,0,NA,43,Tosari
2,28/06/2020 12:00,NA,18.3,7.6,12,3.33,NA,90,NA,0,0,NA,49,Tosari
2,28/06/2020 12:15,NA,18.6,6.3,12.9,3.58,NA,94,NA,0,0,NA,44,Tosari
2,28/06/2020 12:30,NA,18.2,5.6,10.7,2.97,NA,108,NA,0,0,NA,43,Tosari
2,28/06/2020 12:45,NA,18.4,5,9.7,2.69,NA,90,NA,0,0,NA,41,Tosari
2,28/06/2020 13:00,NA,19,5,10.5,2.92,NA,96,NA,0,0,NA,39,Tosari
2,28/06/2020 13:15,NA,18.3,4.9,6.4,1.78,NA,135,NA,0,0,NA,41,Tosari
2,28/06/2020 13:30,NA,19.1,3.7,9,2.5,NA,94,NA,0,0,NA,36,Tosari
2,28/06/2020 13:45,NA,19.6,4.5,13,3.61,NA,148,NA,0,0,NA,36,Tosari
2,28/06/2020 14:00,NA,18.3,3.8,4.6,1.28,NA,93,NA,0,0,NA,38,Tosari
2,28/06/2020 14:15,NA,19.3,2.8,3.2,0.89,NA,29,NA,0,0,NA,33,Tosari
2,28/06/2020 14:30,NA,20,4.2,12.9,3.58,NA,115,NA,0,0,NA,35,Tosari
2,28/06/2020 14:45,NA,18.4,3.5,10.8,3,NA,124,NA,0,0,NA,37,Tosari
2,28/06/2020 15:00,NA,18,2.2,6.2,1.72,NA,120,NA,0,0,NA,34,Tosari
2,28/06/2020 15:15,NA,19.4,2.4,4.4,1.22,NA,55,NA,0,0,NA,32,Tosari
2,28/06/2020 15:30,NA,19.8,2.9,6.1,1.69,NA,71,NA,0,0,NA,32,Tosari
2,28/06/2020 15:45,NA,19.9,2.8,8.4,2.33,NA,148,NA,0,0,NA,32,Tosari
2,28/06/2020 16:00,NA,19.7,2.9,5.4,1.5,NA,92,NA,0,0,NA,32,Tosari
2,28/06/2020 16:15,NA,19.3,3.8,10.3,2.86,NA,125,NA,0,0,NA,36,Tosari
2,28/06/2020 16:30,NA,18.7,3.4,11.3,3.14,NA,126,NA,0,0,NA,36,Tosari
2,28/06/2020 16:45,NA,18.1,3.4,9.9,2.75,NA,127,NA,0,0,NA,37,Tosari
2,28/06/2020 17:00,NA,17.4,3.8,6.3,1.75,NA,105,NA,0,0,NA,40,Tosari
2,28/06/2020 17:15,NA,16.7,3.6,5.9,1.64,NA,93,NA,0,0,NA,41,Tosari
2,28/06/2020 17:30,NA,15.8,3.7,5.7,1.58,NA,100,NA,0,0,NA,44,Tosari
2,28/06/2020 17:45,NA,15.5,6.6,12,3.33,NA,77,NA,0,0,NA,55,Tosari
2,28/06/2020 18:00,NA,15.1,7,14,3.89,NA,59,NA,0,0,NA,58,Tosari
2,28/06/2020 18:15,NA,14.6,7.2,13.8,3.83,NA,58,NA,0,0,NA,61,Tosari
2,28/06/2020 18:30,NA,14.1,7,11.9,3.31,NA,48,NA,0,0,NA,62,Tosari
2,28/06/2020 18:45,NA,13.7,7.3,11.5,3.19,NA,59,NA,0,0,NA,65,Tosari
2,28/06/2020 19:00,NA,13.3,7.3,7.8,2.17,NA,73,NA,0,0,NA,67,Tosari
2,28/06/2020 19:15,NA,13,7.5,9.6,2.67,NA,68,NA,0,0,NA,69,Tosari
2,28/06/2020 19:30,NA,12.8,7.6,11.9,3.31,NA,67,NA,0,0,NA,70,Tosari
2,28/06/2020 19:45,NA,12.7,7.9,11.2,3.11,NA,76,NA,0,0,NA,72,Tosari
2,28/06/2020 20:00,NA,12.2,8,10.1,2.81,NA,95,NA,0,0,NA,75,Tosari
2,28/06/2020 20:15,NA,12,7.8,9,2.5,NA,88,NA,0,0,NA,75,Tosari
2,28/06/2020 20:30,NA,11.5,7.6,7.6,2.11,NA,115,NA,0,0,NA,76,Tosari
2,28/06/2020 20:45,NA,9.6,6.1,6.3,1.75,NA,151,NA,0,0,NA,78,Tosari
2,28/06/2020 21:00,NA,8.8,5.6,6.2,1.72,NA,161,NA,0,0,NA,80,Tosari
2,28/06/2020 21:15,NA,8.4,5.7,6.2,1.72,NA,139,NA,0,0,NA,82,Tosari
2,28/06/2020 21:30,NA,8.6,6.3,7.5,2.08,NA,126,NA,0,0,NA,85,Tosari
2,28/06/2020 21:45,NA,9.1,6.7,7.3,2.03,NA,124,NA,0,0,NA,84,Tosari
2,28/06/2020 22:00,NA,9.3,6.9,6.5,1.81,NA,113,NA,0,0,NA,84,Tosari
2,28/06/2020 22:15,NA,9.2,6.8,6.1,1.69,NA,106,NA,0,0,NA,85,Tosari
2,28/06/2020 22:30,NA,9.4,6.8,7,1.94,NA,103,NA,0,0,NA,84,Tosari
2,28/06/2020 22:45,NA,9,6,5.7,1.58,NA,149,NA,0,0,NA,81,Tosari
2,28/06/2020 23:00,NA,8,5.7,5.8,1.61,NA,124,NA,0,0,NA,85,Tosari
2,28/06/2020 23:15,NA,8.3,6,7.9,2.19,NA,113,NA,0,0,NA,85,Tosari
2,28/06/2020 23:30,NA,8.4,5.9,7.9,2.19,NA,114,NA,0,0,NA,84,Tosari
2,28/06/2020 23:45,NA,8,5.8,8.3,2.31,NA,108,NA,0,0,NA,85,Tosari
3,29/06/2020 0:00,NA,8.3,5.5,9.8,2.72,NA,103,NA,0,0,NA,82,Tosari
3,29/06/2020 0:15,NA,8.3,5.7,9.1,2.53,NA,110,NA,0,0,NA,83,Tosari
3,29/06/2020 0:30,NA,8.7,5.6,9.2,2.56,NA,109,NA,0,0,NA,81,Tosari
3,29/06/2020 0:45,NA,7.8,5.1,7,1.94,NA,193,NA,0,0,NA,82,Tosari
3,29/06/2020 1:00,NA,7,4.7,5.6,1.56,NA,136,NA,0,0,NA,85,Tosari
3,29/06/2020 1:15,NA,7.1,5,7,1.94,NA,115,NA,0,0,NA,86,Tosari
3,29/06/2020 1:30,NA,7.7,5.4,9,2.5,NA,110,NA,0,0,NA,85,Tosari
3,29/06/2020 1:45,NA,7.6,5.4,8.2,2.28,NA,103,NA,0,0,NA,86,Tosari
3,29/06/2020 2:00,NA,7.7,5.4,9.6,2.67,NA,104,NA,0,0,NA,85,Tosari
3,29/06/2020 2:15,NA,7.3,5.3,9.4,2.61,NA,106,NA,0,0,NA,87,Tosari
3,29/06/2020 2:30,NA,7.5,5.4,11.1,3.08,NA,100,NA,0,0,NA,86,Tosari
3,29/06/2020 2:45,NA,8,5.6,12.3,3.42,NA,94,NA,0,0,NA,84,Tosari
3,29/06/2020 3:00,NA,8.1,5.5,13.2,3.67,NA,91,NA,0,0,NA,83,Tosari
3,29/06/2020 3:15,NA,8.3,5.8,14.3,3.97,NA,84,NA,0,0,NA,84,Tosari
3,29/06/2020 3:30,NA,8.2,5.8,14.6,4.06,NA,83,NA,0,0,NA,84,Tosari
3,29/06/2020 3:45,NA,8.2,5.9,13.8,3.83,NA,81,NA,0,0,NA,85,Tosari
3,29/06/2020 4:00,NA,8.1,5.8,15.2,4.22,NA,85,NA,0,0,NA,85,Tosari
3,29/06/2020 4:15,NA,8,5.7,13.4,3.72,NA,84,NA,0,0,NA,85,Tosari
3,29/06/2020 4:30,NA,7.8,5.7,12.4,3.44,NA,90,NA,0,0,NA,86,Tosari
3,29/06/2020 4:45,NA,7.8,5.7,12.4,3.44,NA,86,NA,0,0,NA,86,Tosari
3,29/06/2020 5:00,NA,7.6,5.6,11.3,3.14,NA,92,NA,0,0,NA,87,Tosari
3,29/06/2020 5:15,NA,7.6,5.5,11.4,3.17,NA,97,NA,0,0,NA,86,Tosari
3,29/06/2020 5:30,NA,6.6,4.7,8.6,2.39,NA,114,NA,0,0,NA,88,Tosari
3,29/06/2020 5:45,NA,6.1,4.7,10.3,2.86,NA,101,NA,0,0,NA,90,Tosari
3,29/06/2020 6:00,NA,6.8,5,8.1,2.25,NA,103,NA,0,0,NA,88,Tosari
3,29/06/2020 6:15,NA,5.9,4.3,5.3,1.47,NA,123,NA,0,0,NA,89,Tosari
3,29/06/2020 6:30,NA,5.5,4.1,7,1.94,NA,108,NA,0,0,NA,90,Tosari
3,29/06/2020 6:45,NA,5.7,4.2,6.9,1.92,NA,100,NA,0,0,NA,89,Tosari
3,29/06/2020 7:00,NA,5.7,4.3,7.2,2,NA,94,NA,0,0,NA,91,Tosari
3,29/06/2020 7:15,NA,6.2,4.6,5.2,1.44,NA,115,NA,0,0,NA,89,Tosari
3,29/06/2020 7:30,NA,6.5,4.8,7.6,2.11,NA,109,NA,0,0,NA,88,Tosari
3,29/06/2020 7:45,NA,7,5.1,8.4,2.33,NA,108,NA,0,0,NA,87,Tosari
3,29/06/2020 8:00,NA,7.6,5.3,9.7,2.69,NA,106,NA,0,0,NA,85,Tosari
3,29/06/2020 8:15,NA,8.3,5.7,12.5,3.47,NA,102,NA,0,0,NA,84,Tosari
3,29/06/2020 8:30,NA,9.1,6.1,12,3.33,NA,97,NA,0,0,NA,81,Tosari
3,29/06/2020 8:45,NA,10.1,6.4,13.2,3.67,NA,95,NA,0,0,NA,78,Tosari
3,29/06/2020 9:00,NA,10.9,6.6,15,4.17,NA,104,NA,0,0,NA,75,Tosari
3,29/06/2020 9:15,NA,11.5,6.4,14.6,4.06,NA,102,NA,0,0,NA,70,Tosari
3,29/06/2020 9:30,NA,12.4,6.4,14.7,4.08,NA,101,NA,0,0,NA,66,Tosari
3,29/06/2020 9:45,NA,13.2,6,13.8,3.83,NA,96,NA,0,0,NA,61,Tosari
3,29/06/2020 10:00,NA,14,6,15.3,4.25,NA,87,NA,0,0,NA,58,Tosari
3,29/06/2020 10:15,NA,14.6,5.7,16.6,4.61,NA,89,NA,0,0,NA,55,Tosari
3,29/06/2020 10:30,NA,15.4,6,14.3,3.97,NA,88,NA,0,0,NA,53,Tosari
3,29/06/2020 10:45,NA,15.6,5,15.4,4.28,NA,99,NA,0,0,NA,49,Tosari
3,29/06/2020 11:00,NA,16,4.5,15.1,4.19,NA,93,NA,0,0,NA,46,Tosari
3,29/06/2020 11:15,NA,16.4,3.6,14.3,3.97,NA,89,NA,0,0,NA,42,Tosari
3,29/06/2020 11:30,NA,17,-0.5,12.8,3.56,NA,96,NA,0,0,NA,30,Tosari
3,29/06/2020 11:45,NA,17.6,1.1,14.6,4.06,NA,87,NA,0,0,NA,33,Tosari
3,29/06/2020 12:00,NA,17.7,-0.9,11.2,3.11,NA,102,NA,0,0,NA,28,Tosari
3,29/06/2020 12:15,NA,18.2,0,10.1,2.81,NA,104,NA,0,0,NA,29,Tosari
3,29/06/2020 12:30,NA,18.2,0.3,12.5,3.47,NA,95,NA,0,0,NA,29,Tosari
3,29/06/2020 12:45,NA,18.3,-0.5,11.7,3.25,NA,123,NA,0,0,NA,28,Tosari
3,29/06/2020 13:00,NA,18.3,-0.1,11.6,3.22,NA,98,NA,0,0,NA,28,Tosari
3,29/06/2020 13:15,NA,18.6,-0.7,8.7,2.42,NA,144,NA,0,0,NA,27,Tosari
3,29/06/2020 13:30,NA,19.2,-0.6,9.8,2.72,NA,172,NA,0,0,NA,26,Tosari
3,29/06/2020 13:45,NA,18.8,-0.3,7.8,2.17,NA,81,NA,0,0,NA,27,Tosari
3,29/06/2020 14:00,NA,19,-0.4,12.3,3.42,NA,118,NA,0,0,NA,27,Tosari
3,29/06/2020 14:15,NA,18.5,-1.7,10.8,3,NA,123,NA,0,0,NA,25,Tosari
3,29/06/2020 14:30,NA,18.9,-1,7,1.94,NA,169,NA,0,0,NA,26,Tosari
3,29/06/2020 14:45,NA,19,-0.1,7.2,2,NA,98,NA,0,0,NA,27,Tosari
3,29/06/2020 15:00,NA,19,-0.8,8.5,2.36,NA,180,NA,0,0,NA,26,Tosari
3,29/06/2020 15:15,NA,19.1,-0.9,8.9,2.47,NA,193,NA,0,0,NA,25,Tosari
3,29/06/2020 15:30,NA,19,-0.2,11.1,3.08,NA,122,NA,0,0,NA,27,Tosari
3,29/06/2020 15:45,NA,18.6,-1,7.6,2.11,NA,145,NA,0,0,NA,26,Tosari
3,29/06/2020 16:00,NA,18.9,0.6,5.8,1.61,NA,141,NA,0,0,NA,29,Tosari
3,29/06/2020 16:15,NA,18.4,-0.2,7.5,2.08,NA,77,NA,0,0,NA,28,Tosari
3,29/06/2020 16:30,NA,18.1,-0.8,6.3,1.75,NA,109,NA,0,0,NA,27,Tosari
